timestamp_s,frame_idx,track_id,x1,y1,x2,y2,conf
17.117,513,162,1218,501,1370,636,0.8191611766815186
17.117,513,188,695,508,983,734,0.8103117942810059
17.117,513,197,0,549,200,878,0.7891460657119751
17.117,513,158,1487,502,1685,641,0.7513871788978577
17.117,513,187,1715,493,1912,619,0.5253119468688965
17.117,513,198,600,435,655,501,0.46496230363845825
17.150,514,188,716,506,1002,732,0.8270036578178406
17.150,514,162,1231,490,1384,635,0.7952410578727722
17.150,514,197,0,519,248,862,0.7771971821784973
17.150,514,158,1497,498,1691,642,0.5009900331497192
17.150,514,171,1499,524,1620,643,0.49145621061325073
17.150,514,198,593,430,648,500,0.4430457055568695
17.150,514,187,1718,494,1910,620,0.3891620337963104
17.184,515,197,0,554,297,879,0.8276996612548828
17.184,515,188,754,514,1020,727,0.8058932423591614
17.184,515,162,1243,497,1394,633,0.7691932916641235
17.184,515,158,1501,501,1690,643,0.6160240769386292
17.184,515,171,1504,519,1635,642,0.4522222578525543
17.184,515,193,1725,484,1849,618,0.3664214611053467
17.217,516,197,0,558,341,874,0.877935528755188
17.217,516,188,781,519,1044,722,0.8222554326057434
17.217,516,162,1258,507,1403,632,0.7515314817428589
17.217,516,171,1511,519,1636,641,0.6046981811523438
17.217,516,158,1507,499,1701,642,0.525581419467926
17.217,516,193,1729,504,1852,618,0.43162351846694946
17.251,517,162,1269,501,1415,630,0.8165454268455505
17.251,517,188,791,515,1061,720,0.801701009273529
17.251,517,171,1518,518,1639,640,0.6775392293930054
17.251,517,158,1509,505,1707,629,0.5357463359832764
17.251,517,193,1735,506,1855,617,0.4723982512950897
17.251,517,198,576,430,629,501,0.36307159066200256
17.284,518,162,1281,499,1423,628,0.8329612612724304
17.284,518,188,829,511,1084,716,0.8096588253974915
17.284,518,158,1522,500,1714,634,0.782789409160614
17.284,518,187,1740,482,1919,617,0.45773404836654663
17.284,518,193,1741,486,1862,615,0.4339239001274109
17.317,519,188,859,496,1100,710,0.8347010612487793
17.317,519,162,1291,499,1435,627,0.7965835332870483
17.317,519,158,1531,492,1720,638,0.5676161050796509
17.317,519,171,1532,514,1651,638,0.5238467454910278
17.317,519,187,1744,473,1918,615,0.4401592016220093
17.317,519,193,1745,491,1865,613,0.3533882796764374
17.351,520,188,891,500,1120,705,0.8343884944915771
17.351,520,162,1307,501,1444,623,0.804573655128479
17.351,520,158,1536,499,1730,639,0.7143646478652954
17.351,520,187,1749,477,1917,612,0.5019440650939941
17.351,520,171,1540,512,1681,637,0.35597875714302063
17.384,521,188,912,512,1137,703,0.8160868287086487
